grid_x,grid_y,stress_category,stress_probability,ndvi_mean,moisture_index,recommended_intervention
5,16,Critical,1.0,0.2773318792,0.4104845611, Fertilizer application - Low vegetation vigor
16,14,Critical,1.0,0.207586356,0.1144529404, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
18,1,Critical,1.0,0.2639006738,0.3633367993, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
3,6,Critical,1.0,0.2549194669,0.440821597, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
13,18,Critical,1.0,0.2588979755,0.1564494318, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor
0,15,Critical,1.0,0.31455916,0.3230880151, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
15,5,Critical,1.0,0.217770449,0.2294066557, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor
12,2,Critical,1.0,0.3490749131,0.1942824336, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor
16,1,Critical,1.0,0.2584505017,0.348769487, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
17,2,Critical,0.9997777777777778,0.2870080564,0.340976499, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
18,2,Critical,0.9994444444444445,0.3859200298,0.4082253006, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
15,19,Critical,0.9990634920634921,0.2404898736,0.1194776151, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
0,0,Critical,0.9988888888888888,0.350458265,0.3110777848, Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
7,13,Critical,0.9986666666666666,0.2770363472,0.1742122702, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
7,13,Critical,0.9986111111111111,0.2957730416,0.2113845995, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
16,7,Critical,0.9971428571428572,0.2285425991,0.1058405692, Irrigation needed - Low moisture detected |  Fertilizer application - Low vegetation vigor |  Check for pest/disease - Thin canopy detected
9,1,Critical,0.9971428571428572,0.2325152889,0.3899741056, Fertilizer application - Low vegetation vigor
