grid_x,grid_y,stress_probability,ndvi_mean,moisture_index,stress_category,priority_rank
15,5,1.0,0.217770449,0.2294066557,Critical,1
3,6,1.0,0.2549194669,0.440821597,Critical,2
5,16,1.0,0.2773318792,0.4104845611,Critical,3
0,15,1.0,0.31455916,0.3230880151,Critical,4
18,1,1.0,0.2639006738,0.3633367993,Critical,5
16,14,1.0,0.207586356,0.1144529404,Critical,6
16,1,1.0,0.2584505017,0.348769487,Critical,7
13,18,1.0,0.2588979755,0.1564494318,Critical,8
12,2,1.0,0.3490749131,0.1942824336,Critical,9
17,2,0.9997777777777778,0.2870080564,0.340976499,Critical,10
18,2,0.9994444444444445,0.3859200298,0.4082253006,Critical,11
15,19,0.9990634920634921,0.2404898736,0.1194776151,Critical,12
0,0,0.9988888888888888,0.350458265,0.3110777848,Critical,13
7,13,0.9986666666666666,0.2770363472,0.1742122702,Critical,14
7,13,0.9986111111111111,0.2957730416,0.2113845995,Critical,15
16,7,0.9971428571428572,0.2285425991,0.1058405692,Critical,16
15,12,0.9971428571428572,0.2286080314,0.2042244004,Critical,17
9,1,0.9971428571428572,0.2325152889,0.3899741056,Critical,18
11,6,0.9971428571428572,0.2608907319,0.4819390903,Critical,19
1,8,0.9964444444444445,0.2157285158,0.5788312182,Critical,20
2,1,0.9957301587301588,0.2294652327,0.5692552626,Critical,21
0,2,0.9954444444444444,0.3601587158,0.2526021949,Critical,22
10,17,0.9943333333333332,0.3486373775,0.109546681,Critical,23
4,7,0.9940634920634921,0.223762185,0.7806654315,Critical,24
10,7,0.9935555555555555,0.2085081323,0.813328444,Critical,25
12,8,0.9933333333333333,0.2201478734,0.3216391516,Critical,26
16,5,0.9933333333333333,0.239412293,0.2021144514,Critical,27
9,16,0.9927777777777778,0.2427545719,0.4430575009,Critical,28
2,3,0.9919444444444444,0.2597432255,0.313337358,Critical,29
5,0,0.9914898989898989,0.3182545442,0.401198509,Critical,30
11,19,0.9908492063492064,0.2518312562,0.3569030085,Critical,31
7,13,0.99,0.2185725427,0.31231078,Critical,32
13,10,0.99,0.2625877016,0.3339248265,Critical,33
14,11,0.99,0.3131400999,0.4139800496,Critical,34
12,4,0.99,0.3600499639,0.3491834653,Critical,35
1,3,0.99,0.314054099,0.4892350383,Critical,36
2,14,0.99,0.227598768,0.4512601908,Critical,37
0,18,0.9898015873015872,0.2641074513,0.11443276,Critical,38
0,8,0.9897777777777778,0.210181266,0.4673737736,Critical,39
1,1,0.9894117647058823,0.2904115906,0.5502380567,Critical,40
15,4,0.9892857142857143,0.2443624793,0.4186044489,Critical,41
15,3,0.9890634920634921,0.2707858733,0.4928386144,Critical,42
